window	closing_snapshot	round_start_utc	parameters	inside_window	archived_doc_within_75min
W1	20260810T140235000000Z	2026-08-09T15:38:59+00:00	1224	yes	no
W1	20260810T140235000000Z	2026-08-09T18:31:00+00:00	676	yes	no
W1	20260810T140235000000Z	2026-08-09T22:44:28+00:00	668	yes	no
W1	20260810T140235000000Z	2026-08-10T12:12:15+00:00	301	yes	no
W1	20260810T140235000000Z	2026-08-10T12:56:04+00:00	877	yes	yes
W1	20260810T140235000000Z	2026-08-10T14:02:35+00:00	1092	no	yes
W2	20260812T055918000000Z	2026-08-11T03:08:37+00:00	672	yes	no
W2	20260812T055918000000Z	2026-08-11T20:55:39+00:00	676	yes	no
W2	20260812T055918000000Z	2026-08-12T04:00:35+00:00	936	yes	no
W2	20260812T055918000000Z	2026-08-12T05:59:15+00:00	2368	no	yes
W3	20260817T065740000000Z	2026-08-16T16:09:40+00:00	304	yes	no
W3	20260817T065740000000Z	2026-08-16T17:36:09+00:00	1240	yes	no
W3	20260817T065740000000Z	2026-08-16T18:50:32+00:00	684	yes	no
W3	20260817T065740000000Z	2026-08-16T19:50:18+00:00	678	yes	no
W3	20260817T065740000000Z	2026-08-17T04:02:09+00:00	871	yes	no
W3	20260817T065740000000Z	2026-08-17T06:57:40+00:00	1148	no	yes
