last_update_date	served_by_1h_sweep	in_archive	status
20260812T063125000000Z	yes	no	MISSED
20260812T083153000000Z	yes	yes	captured
20260812T094423000000Z	yes	yes	captured
20260812T111630000000Z	yes	yes	captured
20260812T122631000000Z	yes	yes	captured
20260812T141852000000Z	yes	yes	captured
20260812T155526000000Z	yes	yes	captured
20260812T170935000000Z	yes	yes	captured
20260812T183732000000Z	yes	no	MISSED
20260812T185740000000Z	yes	yes	captured
20260812T204040000000Z	yes	no	MISSED
20260812T210102000000Z	yes	yes	captured
20260812T221321000000Z	yes	yes	captured
20260812T230810000000Z	yes	yes	captured
20260813T000909000000Z	yes	no	MISSED
20260813T013648000000Z	yes	yes	captured
20260813T032643000000Z	yes	yes	captured
20260813T062300000000Z	yes	yes	captured
20260813T071739000000Z	yes	no	MISSED
20260813T082106000000Z	no	yes	archived_not_served
20260813T083510000000Z	yes	no	MISSED
20260813T092813000000Z	yes	no	MISSED
20260813T101037000000Z	no	yes	archived_not_served
20260813T103541000000Z	yes	no	MISSED
20260813T114211000000Z	yes	yes	captured
20260813T141142000000Z	yes	yes	captured
20260813T203406000000Z	yes	yes	captured
20260813T205537000000Z	yes	yes	captured
20260813T220506000000Z	yes	yes	captured
20260813T232324000000Z	yes	yes	captured
20260813T234620000000Z	yes	no	MISSED
20260814T013807000000Z	yes	yes	captured
20260814T033655000000Z	yes	yes	captured
20260814T064606000000Z	yes	no	MISSED
20260814T064924000000Z	yes	yes	captured
20260814T084517000000Z	yes	no	MISSED
20260814T084737000000Z	yes	yes	captured
20260814T104826000000Z	yes	yes	captured
20260814T112250000000Z	yes	no	MISSED
20260814T115756000000Z	no	yes	archived_not_served
20260814T124246000000Z	yes	yes	captured
20260814T135826000000Z	yes	yes	captured
20260814T152518000000Z	yes	no	MISSED
20260814T153910000000Z	no	yes	archived_not_served
20260814T163602000000Z	yes	yes	captured
20260814T173710000000Z	yes	no	MISSED
20260814T174409000000Z	yes	yes	captured
