last_update_date	served_by_1h_sweep	in_archive	status
20260827T085057000000Z	yes	no	MISSED
20260827T094128000000Z	yes	no	MISSED
20260827T111206000000Z	yes	yes	captured
20260827T123611000000Z	yes	no	MISSED
20260827T140240000000Z	yes	no	MISSED
20260827T152627000000Z	yes	no	MISSED
20260827T180723000000Z	yes	no	MISSED
20260827T191442000000Z	yes	no	MISSED
20260827T204708000000Z	yes	no	MISSED
20260827T220450000000Z	yes	no	MISSED
20260827T221234000000Z	no	yes	archived_not_served
20260827T222351000000Z	yes	no	MISSED
20260827T234031000000Z	yes	no	MISSED
20260828T010426000000Z	yes	no	MISSED
20260828T020334000000Z	yes	no	MISSED
20260828T024716000000Z	yes	no	MISSED
20260828T031723000000Z	yes	yes	captured
20260828T063902000000Z	yes	no	MISSED
20260828T080613000000Z	yes	no	MISSED
20260828T093910000000Z	yes	no	MISSED
20260828T110001000000Z	yes	no	MISSED
20260828T112709000000Z	yes	no	MISSED
20260828T124026000000Z	yes	no	MISSED
20260828T130846000000Z	yes	no	MISSED
20260828T170001000000Z	yes	no	MISSED
20260828T182857000000Z	no	yes	archived_not_served
20260828T190444000000Z	yes	no	MISSED
20260828T205949000000Z	yes	no	MISSED
20260828T220252000000Z	yes	no	MISSED
20260828T230216000000Z	yes	no	MISSED
20260828T235234000000Z	yes	no	MISSED
20260829T003913000000Z	yes	no	MISSED
20260829T020622000000Z	yes	yes	captured
20260829T033407000000Z	yes	no	MISSED
20260829T045752000000Z	yes	no	MISSED
20260829T055102000000Z	yes	no	MISSED
20260829T062953000000Z	yes	no	MISSED
20260829T075606000000Z	yes	yes	captured
20260829T095858000000Z	yes	no	MISSED
20260829T105606000000Z	yes	no	MISSED
20260829T130029000000Z	yes	no	MISSED
20260829T134009000000Z	yes	no	MISSED
20260829T140621000000Z	yes	yes	captured
20260829T153614000000Z	yes	no	MISSED
20260829T170618000000Z	yes	yes	captured
20260829T183608000000Z	yes	no	MISSED
20260829T200622000000Z	yes	no	MISSED
20260829T213610000000Z	yes	yes	captured
20260829T225613000000Z	yes	no	MISSED
20260829T232918000000Z	yes	yes	captured
20260830T005456000000Z	yes	no	MISSED
20260830T015302000000Z	yes	no	MISSED
20260830T020636000000Z	yes	no	MISSED
20260830T034117000000Z	yes	no	MISSED
20260830T043808000000Z	yes	no	MISSED
20260830T052025000000Z	yes	yes	captured
20260830T063629000000Z	yes	no	MISSED
